"統計名：","令和６年国民生活基礎調査 所得"
"表番号：","21"
"表題：","[所得の状況（第21表～第34表）] 世帯数の相対度数分布－１世帯当たり平均所得金額－世帯人員１人当たり平均所得金額－中央値－平均所得金額以下の世帯の割合，世帯類型－児童のいる世帯－65歳以上の者のいる世帯－標準４人世帯・所得金額階級別"
"実施年月：","2024年","-"

" 　  　  ・","統計項目のあり得ない場合"
" 　　　　　 ･","H22の内H3265ｃｓｖ内データ[ 　　　・]"
"* 211.9","H21のH2011.csv内データ　[* 211.9]"
"* 233.4","H21のH2011.csv内データ　[* 233.4]"
"* 233.6","H21のH2011.csv内データ　[* 233.6]"
"* 236.8","H19のh21011.csv内データ　[*236.8]"
"***","数字が得られないもの"
"-","計数のない場合"
".","."
"0","推計数が表章単位の2分の1未満の場合"
"0.0","比率が微小（0.05未満）の場合"
"…","計数不明又は計数を表章することが不適切な場合"
"△","減少数（率）の場合"
"　   ・","統計項目のあり得ない場合"
"　 　　　 ･","統計項目のあり得ない場合"
"　 　・","H13の内g32.csv内データ[　 　・]"
"　 ・","H13の内g36.csv内データ[　 ・]"
"　　   　　 ･","H22のh3253.csv内データ [　　   　　 ･]"
"　　 　 　　･","統計項目のあり得ない場合"
"　　 　　 ･","統計項目のあり得ない場合"
"　　　      ･","H22の内H3419ｃｓｖ内データ[ 　　　・]"
"　　　  　　･","H22の内H3253ｃｓｖ内データ[ 　　　・]"
"　　　 ・","　　　 ・"
"　　　 ･","統計項目のあり得ない場合"
"　　　　    ･","H22のh3254.csv内データ[　　　　    ･]"
"　　　　  　･","H22の内H3211ｃｓｖ内データ[ 　　　・]"
"　　　　 .","　　　　 ."
"　　　　 ・","　　　　 ・"
"　　　　 ･","Ｈ22のｈ11027ｃｓｖ内データ［　　・］"
"　　　　　  ･","H22の内H3255ｃｓｖ内データ[ 　　　・]"
"　　　　　 ・","　　　　　 ・"
"　　　　　 ･","H22のhCA-h22-h3263.csv内のデータ [　　　　　 ･]"
"　　　　　 ･･･","統計項目のあり得ない場合"
"　　　　　-","計数のない場合"
"　　　　　.","　　　　　."
"　　　　　　 .","　　　　　　 ."
"　　　　　　 ・","　　　　　　 ・"
"　　　　　　 ･","Ｈ23のＨ1046内データ［　　・］"
"　　　　　　.","　　　　　　."
"　　　　　　　 ･","統計項目のあり得ない場合"
"　　　　　　　　 ・","　　　　　　　　 ・H19のH5403csv内データ "
"　　　　　　　　.","　　　　　　　　."
"　　　　　　　・","　　　　　　　・"
"　　　　　　・","　　　　　　・"
"　　　　　　･","H22の内H3273ｃｓｖ内データ[ 　　　・]"
"　　　　　・","　　　　　・"
"　　　　　･","H23のH1033ｃｓｖ内データ［　　　・］"
"　　　　　･ ","H23のH1034ｃｓｖ内データ［　　・］"
"　　　　　･･･","統計項目のあり得ない場合"
"　　　　・","　　　　・"
"　　　・","H19の内H3421ｃｓｖ内データ[ 　　　・]"
"　　・","　　・"
"　・","　・"
"・","全角「・」"
"・・・","統計項目のあり得ない場合"
"注:４）","注:４）"
"注:５）","注:５）"
"注：1)","注：1)"
"注：3)","注：3)"
"注：4)","注：4)"
"注：5)","注：5)"
"注：6)","注：6)"
"注：１）","注：１）"
"注：２）","注：２）"
"注：３）","注：３）"
"注：４）","注：４）"
"注：５）","注：５）"
"注：６）","注：６）"
"＊","客体が少ない場合"
"･","統計項目のありえない場合"
"･･･","統計項目のあり得ない場合"

"","","","","","","","","","/世帯類型_103 コード","100","110","120","130","140","150","160","170"
"","","","","","","","","","/世帯類型_103 補助コード","-","-","-","-","-","-","-","-"
"調査年度 コード","調査年度 補助コード","調査年度","表章項目 コード","表章項目 補助コード","表章項目","所得金額階級_101 コード","所得金額階級_101 補助コード","所得金額階級_101","/世帯類型_103","総数","高齢者世帯","高齢者世帯以外の世帯","高齢者世帯以外の世帯_母子世帯","高齢者世帯以外の世帯_その他の世帯","（再掲）児童のいる世帯","（再掲）６５歳以上の者のいる世帯","（再掲）標準４人世帯"
"17","","2024年(令和6年)","2735","","世帯数の相対度数分布【%】","110","","総数","","100.0","100.0","100.0","100.0","100.0","100.0","100.0","100.0"
"17","","2024年(令和6年)","2735","","世帯数の相対度数分布【%】","120","","５０万円未満","","1.1","1.1","1.0","-","1.1","-","0.8","-"
"17","","2024年(令和6年)","2735","","世帯数の相対度数分布【%】","130","","５０～１００万円未満","","5.6","10.4","2.8","-","2.8","0.9","7.4","-"
"17","","2024年(令和6年)","2735","","世帯数の相対度数分布【%】","140","","１００～１５０万円未満","","7.4","12.9","4.2","7.5","4.1","2.6","9.3","0.9"
"17","","2024年(令和6年)","2735","","世帯数の相対度数分布【%】","150","","１５０～２００万円未満","","7.1","12.6","3.8","7.5","3.7","1.7","9.5","-"
"17","","2024年(令和6年)","2735","","世帯数の相対度数分布【%】","170","","２００～２５０万円未満","","7.4","11.9","4.8","20.0","4.6","2.8","9.6","0.5"
"17","","2024年(令和6年)","2735","","世帯数の相対度数分布【%】","180","","２５０～３００万円未満","","7.0","11.2","4.5","17.5","4.3","1.7","9.3","-"
"17","","2024年(令和6年)","2735","","世帯数の相対度数分布【%】","200","","３００～３５０万円未満","","7.2","9.9","5.6","10.0","5.5","3.6","8.4","3.3"
"17","","2024年(令和6年)","2735","","世帯数の相対度数分布【%】","210","","３５０～４００万円未満","","5.9","7.3","5.1","12.5","5.0","4.1","6.7","3.3"
"17","","2024年(令和6年)","2735","","世帯数の相対度数分布【%】","230","","４００～４５０万円未満","","5.1","4.5","5.5","5.0","5.5","3.8","5.3","2.4"
"17","","2024年(令和6年)","2735","","世帯数の相対度数分布【%】","240","","４５０～５００万円未満","","4.8","3.5","5.5","2.5","5.6","4.7","4.0","5.7"
"17","","2024年(令和6年)","2735","","世帯数の相対度数分布【%】","260","","５００～５５０万円未満","","4.5","3.6","5.1","5.0","5.1","4.7","4.3","5.7"
"17","","2024年(令和6年)","2735","","世帯数の相対度数分布【%】","270","","５５０～６００万円未満","","4.0","2.4","4.9","2.5","4.9","6.5","3.5","6.1"
"17","","2024年(令和6年)","2735","","世帯数の相対度数分布【%】","290","","６００～６５０万円未満","","4.3","2.4","5.5","5.0","5.5","6.4","3.1","7.1"
"17","","2024年(令和6年)","2735","","世帯数の相対度数分布【%】","300","","６５０～７００万円未満","","3.3","1.0","4.7","-","4.7","5.3","2.2","5.2"
"17","","2024年(令和6年)","2735","","世帯数の相対度数分布【%】","320","","７００～７５０万円未満","","2.7","0.7","3.9","-","4.0","4.7","2.0","4.2"
